iter	RMSE	R2
0	938.6744696	-1.083807408
1	915.4745871	-0.9820753109
2	893.5936118	-0.8884595048
3	872.8180055	-0.8016688063
4	852.0560437	-0.7169746702
5	832.8230014	-0.6403366493
6	814.3830438	-0.5685017626
7	795.8653642	-0.4979826224
8	777.9706103	-0.4313767124
9	761.0152898	-0.3696649129
10	744.6987622	-0.3115620132
11	729.1873187	-0.2574935907
12	713.6756852	-0.2045625784
13	698.8412958	-0.1550071861
14	684.4256179	-0.1078477479
15	671.0634364	-0.06501253311
16	656.9936451	-0.02082172326
17	644.4783897	0.01769968214
18	632.5017191	0.05386962342
19	620.876473	0.08832935227
20	608.8869778	0.1231991996
21	597.6622062	0.1552286958
22	586.1518046	0.1874543335
23	574.9381408	0.2182465506
24	564.4488697	0.246511235
25	554.6550776	0.2724320631
26	544.2617125	0.2994435542
27	535.3725366	0.3221404111
28	526.8316208	0.3435959784
29	517.9664201	0.3655012423
30	509.6740613	0.3856545739
31	501.432063	0.4053632217
32	493.7018636	0.4235560322
33	485.4929317	0.4425660846
34	478.1382261	0.4593272301
35	470.74118	0.4759268028
36	464.1056274	0.4905973095
37	457.4058294	0.5051985587
38	451.5239299	0.5178422967
39	444.8215791	0.5320502057
40	438.4045831	0.5454541081
41	432.8338586	0.556932374
42	426.5620158	0.5696796091
43	420.3456608	0.5821304718
44	415.1261334	0.5924436028
45	409.8160576	0.6028034132
46	404.7172944	0.6126254436
47	400.1796134	0.6212632167
48	396.1801161	0.6287957709
49	391.72045	0.6371057765
50	387.6547866	0.6445996368
51	383.649114	0.6519064589
52	379.3719814	0.6596246733
53	374.8588264	0.6676749734
54	371.2615712	0.6740225469
55	367.7504421	0.6801591192
56	364.2466133	0.6862248031
57	360.6375084	0.6924120245
58	357.7212186	0.6973665222
59	354.7670419	0.7023443715
60	352.3222258	0.7064327209
61	349.017949	0.711913379
62	346.3706891	0.7162670111
63	344.0712564	0.7200217128
64	341.2844274	0.7245387525
65	338.4014148	0.7291730332
66	336.3403697	0.7324619482
67	334.1736546	0.7358978224
68	331.9662563	0.739375375
69	329.5795567	0.7431094692
70	327.7424403	0.7459653652
71	325.391025	0.749597474
72	323.6563628	0.7522601534
73	321.7281485	0.7552032289
74	319.844405	0.7580614454
75	317.7296839	0.7612501282
76	315.75988	0.7642012696
77	313.7032255	0.7672629453
78	311.8764499	0.76996563
79	310.2579382	0.7723470041
80	308.5517114	0.7748440207
81	307.2897212	0.7766820499
82	305.6474825	0.7790626138
83	304.0409411	0.7813790879
84	303.0078801	0.7828622108
85	301.4272726	0.7851216534
86	300.0432597	0.7870903648
87	298.9638537	0.7886194948
88	297.708696	0.7903906716
89	296.4505974	0.7921585204
90	295.3899858	0.7936430494
91	294.3293137	0.7951223419
92	293.0965435	0.7968349687
93	291.7193281	0.7987397652
94	290.5398308	0.8003639703
95	289.4636438	0.8018401727
96	288.7098378	0.8028709035
97	287.6311698	0.8043411662
98	286.5479467	0.805812099
99	285.7135496	0.8069413614
100	284.548911	0.8085120625
101	283.6951911	0.809659365
102	282.5614446	0.8111776623
103	281.4216321	0.8126979544
104	280.5647264	0.8138368564
105	279.6673139	0.8150258723
106	278.4598839	0.8166196315
107	277.7488982	0.8175548784
108	276.8920157	0.8186788639
109	276.1701486	0.8196230525
110	275.4961105	0.8205024565
111	274.7949022	0.8214150283
112	274.1350006	0.8222717182
113	273.4521101	0.8231560838
114	272.8459848	0.8239391883
115	271.5423753	0.8256175436
116	271.0609045	0.8262353892
117	270.2452971	0.8272795122
118	269.3877447	0.8283739392
119	268.6730451	0.8292833968
