iter	Passed	Remaining
0	28	28418
1	61	30653
2	98	32609
3	125	31231
4	152	30443
5	178	29570
6	204	28967
7	229	28422
8	258	28460
9	283	28029
10	309	27812
11	335	27599
12	358	27191
13	386	27192
14	414	27195
15	441	27158
16	468	27102
17	500	27279
18	533	27531
19	558	27375
20	585	27314
21	616	27410
22	652	27715
23	676	27505
24	701	27371
25	725	27165
26	747	26947
27	771	26765
28	800	26815
29	871	28181
30	958	29945
31	995	30114
32	1020	29901
33	1047	29755
34	1072	29558
35	1095	29340
36	1119	29146
37	1144	28978
38	1166	28749
39	1190	28571
40	1229	28760
41	1319	30108
42	1397	31103
43	1423	30923
44	1447	30714
45	1470	30501
46	1493	30292
47	1521	30176
48	1572	30511
49	1655	31453
50	1696	31562
51	1717	31313
52	1739	31089
53	1762	30875
54	1794	30835
55	1880	31698
56	1929	31916
57	1951	31702
58	1975	31499
59	1997	31300
60	2022	31136
61	2082	31503
62	2125	31610
63	2155	31519
64	2181	31375
65	2205	31211
66	2231	31074
67	2260	30982
68	2285	30833
69	2317	30794
70	2343	30665
71	2369	30536
72	2393	30389
73	2418	30262
74	2444	30145
75	2469	30020
76	2494	29898
77	2520	29792
78	2544	29665
79	2570	29563
80	2594	29437
81	2617	29298
82	2639	29167
83	2666	29077
84	2689	28950
85	2713	28836
86	2742	28779
87	2821	29237
88	2867	29354
89	2893	29261
90	2917	29141
91	2959	29206
92	2999	29249
93	3022	29136
94	3055	29112
95	3140	29572
96	3171	29523
97	3195	29412
98	3219	29298
99	3243	29194
100	3268	29088
101	3292	28987
102	3316	28883
103	3341	28790
104	3371	28734
105	3458	29166
106	3534	29500
107	3558	29388
108	3584	29303
109	3611	29217
110	3633	29102
111	3658	29004
112	3685	28931
113	3767	29282
114	3834	29509
115	3858	29401
116	3882	29303
117	3906	29199
118	3945	29210
119	3984	29220
120	4014	29160
121	4042	29089
122	4070	29022
123	4102	28981
124	4173	29217
125	4231	29350
126	4258	29271
