iter	RMSE	R2
0	607.8895976	0.1164358347
1	571.7683069	0.2183203099
2	538.3333205	0.3070670809
3	507.5591996	0.3840264295
4	480.0346805	0.4490224552
5	456.4673399	0.5017949915
6	437.6108708	0.5421060827
7	420.7215467	0.5767683093
8	403.7052678	0.6103115774
9	390.2417592	0.6358702591
10	377.6613883	0.6589690137
11	366.8946344	0.6781367504
12	357.0713058	0.6951413135
13	348.0777059	0.710304942
14	340.711274	0.7224369318
15	333.4175074	0.7341935768
16	326.8722842	0.7445270832
17	321.4785034	0.7528887336
18	317.062626	0.7596308238
19	311.8673101	0.7674435553
20	307.3989465	0.7740598461
21	302.5693721	0.7811036104
22	299.854836	0.7850137
23	295.1187254	0.7917513457
24	291.9499937	0.7961993284
25	288.984113	0.8003190628
26	286.0466212	0.8043579003
27	283.1699187	0.8082731652
28	281.2309507	0.8108898233
29	277.9421156	0.8152870313
30	276.219374	0.8175697119
31	273.4687701	0.8211849184
32	271.4935947	0.8237586357
33	270.044034	0.8256355901
34	265.948829	0.8308839464
35	264.6066584	0.8325866036
36	263.5174365	0.8339620416
37	261.3864717	0.8366365549
38	258.9505454	0.8396672171
39	257.6498708	0.8412738331
40	256.3549697	0.8428652812
41	254.6773359	0.8449151884
42	253.5962758	0.8462290089
43	252.4758221	0.8475848069
44	251.1226612	0.8492141874
45	249.658711	0.8509671117
46	247.3237313	0.8537417912
47	246.6306782	0.8545603352
48	245.1158126	0.8563414997
49	243.9083607	0.8577533507
50	242.8502698	0.8589848248
51	242.1529462	0.859793488
52	241.1728454	0.8609261475
53	239.3582443	0.8630110768
54	238.4964486	0.8639957426
55	237.7009846	0.8649014674
56	236.3580188	0.8664237175
57	234.8327923	0.8681421
58	234.1616866	0.8688946708
59	233.5422615	0.869587376
60	233.0394007	0.8701483776
61	232.5572369	0.8706851537
62	232.1737406	0.8711112928
63	231.8162451	0.8715079067
64	231.0949369	0.8723062822
65	230.4676561	0.8729985614
66	230.2539689	0.873233961
67	229.9869321	0.873527824
68	229.394622	0.87417842
69	228.3866253	0.8752817509
70	227.9866976	0.8757181566
71	227.6015816	0.8761376767
72	226.9216919	0.8768765726
73	226.1270566	0.877737371
74	225.903924	0.8779785391
75	225.6239651	0.87828079
76	225.0397214	0.8789103473
77	224.2673658	0.8797401011
78	223.8745705	0.880160993
79	223.3655858	0.8807052878
80	223.015831	0.8810785882
81	222.8316621	0.8812749203
82	222.1983901	0.8819487781
83	221.8787376	0.8822881886
84	221.4969605	0.8826929233
85	221.009879	0.8832082827
86	220.8534919	0.8833735084
87	220.668405	0.8835689049
88	220.5703988	0.8836723038
89	220.4321123	0.8838181212
90	219.2909815	0.8850179061
91	217.9995268	0.8863682298
92	217.2290762	0.8871700018
93	216.7819244	0.8876340301
94	216.5775154	0.8878458354
95	216.256464	0.8881781004
96	215.7357916	0.8887159108
97	215.2627649	0.8892033833
98	214.7521737	0.8897283666
99	214.0516088	0.8904466498
100	212.5966374	0.8919309204
101	212.1741206	0.8923600488
102	211.6348395	0.8929065285
103	211.1865571	0.8933597362
104	210.8968219	0.8936521434
105	210.3683654	0.8941844398
106	209.5652538	0.89499083
107	209.2123058	0.8953442432
108	209.0332239	0.8955233333
109	208.4907762	0.8960648702
110	208.2566986	0.8962981201
111	207.9168633	0.8966362874
112	207.6710192	0.8968805806
113	207.471572	0.8970785572
114	207.1614802	0.8973859848
115	206.2715085	0.8982657565
116	205.9688567	0.8985640766
117	205.2694702	0.8992517774
118	204.9226932	0.8995918927
119	204.0217672	0.9004728242
120	203.6882488	0.9007979563
121	203.3227656	0.9011536386
122	202.9664605	0.901499774
123	202.5474409	0.9019060571
124	202.0897406	0.9023488857
125	201.4463405	0.9029696864
126	200.8889287	0.9035059186
127	200.8015643	0.9035898288
128	200.6118015	0.903771963
129	199.9854963	0.9043718683
130	199.6921057	0.9046522468
131	199.50543	0.904830429
132	199.2330793	0.9050900892
133	198.969206	0.9053413287
134	198.4793712	0.9058068282
135	198.3039631	0.9059732429
136	197.9933685	0.906267552
137	196.1343377	0.9080194638
138	195.8189069	0.9083150792
139	195.4780553	0.9086339835
140	195.3187033	0.9087828844
141	195.0289934	0.9090532824
142	194.8775792	0.9091944439
143	194.6096273	0.909443983
144	194.1696616	0.909852971
145	193.9498929	0.9100569193
146	193.6986499	0.9102897932
147	193.3761596	0.9105882629
148	193.1840216	0.9107658531
149	192.904418	0.911023971
150	192.4989941	0.9113975769
151	191.0229237	0.9127511631
152	190.8073904	0.9129479397
153	190.6206092	0.9131182867
154	190.2823423	0.9134263659
155	189.974424	0.9137063293
156	189.6220007	0.9140262007
157	189.4793027	0.9141555493
158	189.1575866	0.9144468116
159	188.9733142	0.9146134178
160	188.4760675	0.9150621831
161	188.3290541	0.9151946363
162	188.1240846	0.9153791331
163	188.0216787	0.9154712353
164	187.7440395	0.9157206871
165	187.5891423	0.9158596981
166	187.3351104	0.9160874282
167	187.2190497	0.9161913696
168	186.9450316	0.9164365185
169	186.5504255	0.9167889201
170	186.2121506	0.9170904224
171	185.958322	0.917316299
172	185.7119021	0.917535288
173	185.5027647	0.9177209168
174	185.2817596	0.9179168521
175	184.6608495	0.9184660789
176	184.3995528	0.9186966581
177	184.319632	0.9187671183
178	184.18586	0.9188849869
179	184.0205755	0.9190305033
180	183.7494843	0.9192688892
181	183.6260864	0.9193772835
182	183.5405514	0.9194523759
183	183.4259316	0.9195529474
184	183.2320219	0.9197229475
185	183.031463	0.9198985878
186	182.8658836	0.9200434498
187	182.6270641	0.9202521569
188	182.4146708	0.9204375408
189	182.2456643	0.9205849011
190	182.1171584	0.9206968568
191	181.9426376	0.9208487745
192	181.7783264	0.9209916719
193	181.5084876	0.9212260638
194	181.3678763	0.921348066
195	180.4753345	0.92212028
196	180.3908581	0.9221931704
197	179.9635917	0.922561314
198	179.595005	0.9228781963
199	179.5239293	0.922939227
200	179.2906177	0.9231393952
201	179.1436712	0.9232653334
202	178.886513	0.9234854784
203	178.7888271	0.9235690212
204	178.6363019	0.9236993725
205	177.9780119	0.924260685
206	177.8668756	0.9243552445
207	177.5999864	0.9245820841
208	177.2488056	0.9248800474
209	176.8952679	0.9251794147
210	176.5785702	0.9254470792
211	176.3270248	0.925659337
212	176.169228	0.9257923339
213	175.885576	0.9260311067
214	175.7349192	0.9261577701
215	175.5799768	0.9262879235
216	175.3287989	0.926498672
217	175.0239401	0.9267540555
218	174.7012743	0.9270238721
219	174.298633	0.9273598667
220	173.9079613	0.9276851319
221	173.7106477	0.9278491337
222	173.5258374	0.9280025743
223	173.3498683	0.9281485225
224	173.1174071	0.9283410982
225	172.9349938	0.9284920322
226	172.7605968	0.9286361845
227	172.3997321	0.9289340046
228	172.1475116	0.9291417913
229	172.0742947	0.9292020526
230	171.852069	0.9293847988
231	171.0130998	0.9300725923
232	170.9702236	0.9301076521
233	170.8481916	0.9302073895
234	170.6339451	0.9303823219
235	170.488825	0.9305006879
236	170.2747867	0.9306750827
237	170.1806174	0.9307517408
238	170.0691911	0.9308423921
239	169.9552333	0.9309350416
240	169.7429052	0.931107502
241	169.5229984	0.9312858907
242	169.3951849	0.9313894671
243	169.2584727	0.9315001681
244	168.1036932	0.9324316708
245	167.8220937	0.9326578558
246	167.7000782	0.9327557428
247	167.275059	0.9330961586
248	166.9754047	0.9333356452
249	166.8473166	0.9334378835
250	166.7864784	0.9334864163
251	166.6412421	0.9336022047
252	166.4770499	0.9337329843
253	166.2835796	0.9338869184
254	166.1950958	0.9339572606
255	166.0639963	0.9340614124
256	165.8416366	0.9342378777
257	165.1328603	0.9347987866
258	164.994738	0.9349078137
259	164.9064767	0.9349774351
260	164.6540299	0.9351763621
261	164.3356827	0.9354267839
262	164.2187506	0.9355186446
263	163.9997233	0.9356905343
264	163.8824949	0.9357824393
265	163.7372632	0.9358962074
266	163.6429658	0.9359700218
267	163.4653386	0.9361089497
268	163.1215207	0.9363774322
269	163.0158044	0.9364598708
270	162.8465028	0.9365917827
271	162.6964469	0.9367085847
272	162.4763612	0.9368797023
273	162.2866414	0.9370270244
274	162.052477	0.9372086215
275	161.8826076	0.9373401929
276	161.6700252	0.9375046531
277	161.6090036	0.9375518214
278	161.4994043	0.9376364944
279	161.4291085	0.9376907725
280	161.3604304	0.9377437786
281	161.238811	0.9378375898
282	161.1100432	0.9379368379
283	160.9298472	0.9380755913
284	160.8368795	0.9381471169
285	160.6809169	0.9382670156
286	160.4850042	0.9384174616
287	160.326957	0.938538696
288	160.2628879	0.9385878079
289	159.9531217	0.9388249812
290	159.7646205	0.9389690831
291	159.6028248	0.9390926341
292	159.4041853	0.9392441487
293	159.2633843	0.9393514321
294	159.163535	0.9394274547
295	159.0593278	0.9395067446
296	158.8725762	0.9396487115
297	158.7073085	0.9397742075
298	158.4883451	0.939940276
299	158.3137932	0.9400724973
300	158.2507488	0.940120217
301	158.1271778	0.9402136954
302	157.9658607	0.9403356179
303	157.817345	0.9404477552
304	157.660623	0.9405659744
305	157.58589	0.9406223059
306	157.4664175	0.9407123052
307	157.3341656	0.9408118518
308	157.1763254	0.9409305492
309	156.8743406	0.9411573128
310	156.7287659	0.9412664707
311	156.5852839	0.9413739602
312	156.519986	0.9414228455
313	156.4885557	0.9414463685
314	156.3146434	0.9415764424
315	156.1953133	0.9416656091
316	156.0742249	0.94175602
317	155.7201956	0.9420199545
318	155.6377316	0.9420813467
319	155.4441241	0.9422253543
320	154.8709257	0.9426506554
321	154.4582923	0.942955848
322	154.3351728	0.9430467521
323	154.176915	0.9431634938
324	154.0762289	0.9432377044
325	154.0058535	0.9432895457
326	153.8491511	0.9434048938
327	153.7909523	0.9434477039
328	153.6747911	0.9435331016
329	153.6523653	0.9435495808
330	153.5475408	0.9436265776
331	153.4383953	0.9437066925
332	153.3205136	0.9437931559
333	153.2506421	0.9438443736
334	153.0881698	0.9439633799
335	153.0071923	0.9440226465
336	152.9699682	0.9440498799
337	152.8861546	0.9441111742
338	152.8372753	0.944146905
339	152.6924159	0.9442527301
340	152.5151846	0.9443820676
341	152.4968289	0.9443954544
342	152.3379049	0.9445112901
343	152.3126152	0.944529712
344	152.2093057	0.9446049345
345	152.1946483	0.9446156028
346	152.0052981	0.944753328
347	151.8928303	0.9448350511
348	151.7450877	0.9449423143
349	151.6503711	0.9450110249
350	151.6279054	0.945027316
351	151.4981956	0.9451213283
352	151.3862602	0.9452023933
353	151.3329513	0.9452409791
354	151.2424947	0.945306422
355	151.1783616	0.9453527969
356	150.9361258	0.945527781
357	150.7793297	0.9456408963
358	150.6516249	0.9457329378
359	150.6350792	0.9457448572
360	150.5674791	0.9457935422
361	150.4406089	0.9458848538
362	150.4293027	0.9458929875
363	150.287246	0.9459951303
364	150.2359535	0.9460319873
365	150.1579896	0.9460879854
366	150.1236101	0.9461126695
367	149.9489683	0.946237973
368	149.8338024	0.9463205234
369	149.6573961	0.9464468477
370	149.5122772	0.9465506556
371	149.39897	0.9466316375
372	149.2367104	0.9467474995
373	149.0871353	0.9468541925
374	149.0112425	0.9469082864
375	148.9982792	0.9469175235
376	148.9249804	0.9469697379
377	148.8726642	0.9470069896
378	148.7210152	0.9471148972
379	148.6557879	0.9471612765
380	148.5766826	0.9472174965
381	148.4541925	0.9473044909
382	148.4040685	0.9473400691
383	148.3950027	0.9473465027
384	148.3850234	0.9473535842
385	148.2056666	0.9474807774
386	147.8761216	0.9477140776
387	147.8120331	0.9477593885
388	147.5577677	0.9479389619
389	147.5283417	0.9479597239
390	147.1970402	0.9481931931
391	147.0594839	0.9482899753
392	146.9647572	0.9483565707
393	146.807097	0.9484673148
394	146.7109692	0.9485347789
395	146.6018635	0.9486112975
396	146.5328398	0.9486596762
397	146.4656263	0.9487067642
398	146.3929273	0.948757671
399	146.3295063	0.9488020602
400	146.270851	0.9488430968
401	146.2048139	0.9488892781
402	146.1108895	0.9489549257
403	146.0666873	0.9489858059
404	145.7650583	0.9491962779
405	145.6292104	0.9492909283
406	145.4732079	0.9493995124
407	145.4590524	0.9494093594
408	145.4193944	0.9494369417
