iter	Passed	Remaining
0	72	71932
1	152	75875
2	212	70694
3	282	70283
4	312	62121
5	336	55747
6	410	58244
7	479	59418
8	509	56146
9	538	53329
10	574	51637
11	641	52781
12	679	51585
13	768	54101
14	878	57658
15	941	57907
16	977	56518
17	1006	54898
18	1052	54338
19	1153	56543
20	1258	58667
21	1335	59358
22	1360	57789
23	1390	56546
24	1470	57340
25	1501	56236
26	1525	54967
27	1583	54984
28	1689	56552
29	1781	57614
30	1860	58144
31	1886	57072
32	1913	56060
33	1963	55774
34	2053	56616
35	2127	56977
36	2163	56310
37	2189	55430
38	2215	54595
39	2243	53851
40	2269	53091
41	2294	52334
42	2321	51656
43	2349	51038
44	2375	50407
45	2406	49913
46	2437	49423
47	2469	48985
48	2497	48476
49	2524	47970
50	2550	47467
51	2580	47041
52	2605	46550
53	2641	46276
54	2680	46049
55	2711	45714
56	2742	45374
57	2786	45253
58	2822	45010
59	2865	44892
60	2910	44801
61	2942	44514
62	2978	44296
63	3018	44145
64	3043	43782
65	3072	43473
66	3114	43375
67	3148	43148
68	3175	42848
69	3201	42529
70	3227	42235
71	3251	41913
72	3281	41675
73	3309	41414
74	3336	41146
75	3361	40867
76	3386	40595
77	3417	40397
78	3446	40185
79	3472	39939
80	3499	39707
81	3527	39494
82	3555	39281
83	3580	39042
84	3603	38786
85	3628	38561
86	3657	38380
87	3705	38399
88	3744	38330
89	3788	38301
90	3886	38825
91	3972	39205
92	3996	38974
93	4035	38899
94	4128	39325
95	4184	39402
96	4212	39217
97	4240	39033
98	4332	39426
99	4374	39369
100	4435	39479
101	4459	39265
102	4491	39117
103	4557	39265
104	4656	39692
105	4755	40109
106	4827	40290
107	4855	40098
108	4882	39914
109	4976	40264
110	5042	40386
111	5067	40174
112	5093	39979
113	5146	39995
114	5228	40237
115	5336	40666
116	5415	40867
117	5441	40671
118	5465	40462
119	5500	40336
120	5532	40193
121	5571	40093
122	5636	40187
123	5732	40500
124	5825	40776
125	5854	40612
126	5879	40412
127	5939	40464
128	6042	40800
129	6111	40898
130	6136	40704
131	6162	40524
132	6231	40622
133	6309	40777
134	6421	41148
135	6457	41026
136	6480	40822
137	6503	40622
138	6533	40468
139	6621	40674
140	6707	40866
141	6744	40754
142	6768	40562
143	6792	40375
144	6816	40193
145	6860	40129
146	6946	40306
147	6988	40232
148	7012	40049
149	7045	39926
150	7115	40006
151	7152	39903
152	7179	39744
153	7207	39592
154	7281	39694
155	7385	39956
156	7445	39979
157	7470	39808
158	7493	39634
159	7528	39523
160	7604	39629
161	7698	39821
162	7782	39963
163	7808	39806
164	7832	39634
165	7875	39568
166	7971	39760
167	8010	39669
168	8036	39518
169	8071	39409
170	8153	39526
171	8216	39554
172	8303	39695
173	8344	39614
174	8371	39466
175	8396	39311
176	8452	39300
177	8537	39426
178	8591	39404
179	8624	39287
180	8653	39155
181	8678	39004
182	8706	38869
183	8799	39025
184	8856	39018
185	8881	38870
186	8904	38712
187	8940	38615
188	9029	38746
189	9135	38945
190	9239	39133
191	9323	39235
192	9351	39103
193	9376	38954
194	9400	38808
195	9426	38668
196	9453	38534
197	9477	38387
198	9508	38270
199	9534	38137
200	9563	38017
201	9592	37894
202	9624	37785
203	9650	37657
204	9676	37526
205	9706	37411
206	9731	37282
207	9757	37152
208	9785	37034
209	9817	36932
210	9842	36805
211	9875	36705
212	9915	36636
213	9946	36534
214	9973	36414
215	9999	36295
216	10031	36196
217	10060	36090
218	10090	35986
219	10119	35879
220	10152	35788
221	10177	35668
222	10204	35554
223	10230	35440
224	10259	35339
225	10289	35237
226	10319	35139
227	10362	35086
228	10453	35195
229	10491	35123
230	10516	35008
231	10541	34895
232	10571	34798
233	10634	34811
234	10706	34852
235	10811	34999
236	10872	35002
237	10900	34900
238	10941	34837
239	10971	34744
240	11049	34798
241	11133	34871
242	11227	34974
243	11292	34987
244	11318	34880
245	11345	34773
246	11396	34744
247	11463	34760
248	11498	34681
249	11527	34581
250	11616	34663
251	11728	34813
252	11807	34863
253	11837	34765
254	11863	34658
255	11963	34769
256	12061	34870
257	12097	34791
258	12121	34679
259	12145	34567
260	12168	34454
261	12193	34347
262	12258	34352
263	12360	34459
264	12437	34495
265	12478	34432
266	12548	34449
267	12637	34516
268	12661	34407
269	12706	34353
270	12806	34449
271	12902	34532
272	12944	34470
273	12967	34359
274	13006	34290
275	13080	34313
276	13181	34405
277	13274	34475
278	13302	34376
279	13325	34265
280	13348	34155
281	13400	34118
282	13476	34143
283	13513	34069
284	13538	33963
285	13571	33882
286	13628	33856
287	13723	33928
288	13778	33899
289	13806	33802
290	13829	33694
291	13852	33588
292	13878	33488
293	13911	33406
294	13993	33442
295	14086	33502
296	14163	33524
297	14231	33524
298	14301	33530
299	14334	33447
300	14363	33354
301	14387	33252
302	14410	33149
303	14437	33053
304	14528	33106
305	14577	33061
306	14602	32962
307	14627	32864
308	14678	32824
309	14766	32866
310	14872	32950
311	14942	32949
312	14966	32849
313	14989	32748
314	15033	32692
315	15127	32743
316	15195	32739
317	15226	32654
318	15249	32555
319	15287	32486
320	15377	32527
321	15458	32548
322	15488	32462
323	15545	32434
324	15635	32472
325	15736	32534
326	15809	32537
327	15832	32437
328	15856	32340
329	15879	32241
330	15903	32143
331	15955	32102
332	16046	32141
333	16104	32112
334	16179	32116
335	16244	32103
336	16284	32037
337	16312	31948
338	16367	31913
339	16463	31958
340	16490	31869
341	16513	31770
342	16538	31677
343	16614	31682
344	16712	31729
345	16807	31768
346	16836	31684
347	16864	31595
348	16888	31503
349	16975	31525
350	17073	31569
351	17113	31504
352	17135	31406
353	17174	31340
354	17250	31341
355	17353	31391
356	17406	31351
357	17431	31259
358	17454	31164
359	17499	31110
360	17571	31103
361	17617	31049
362	17706	31071
363	17784	31073
364	17879	31105
365	17925	31050
366	17948	30958
367	17972	30865
368	18003	30785
